province,name,age,circum,height,latlong,details
เชียงใหม่,1. กลุ่มต้นยางนารักษ์สิ่งแวดล้อม,100ปี,5 เมตร,40 เมตร,"18.679368, 99.041295","        ทันทีที่เข้าสู่ถนนสายเชียงใหม่-ลำพูน  ณ เขตอำเภอสารภี จังหวัดเชียงใหม่ ความยิ่งใหญ่สงบเย็นของต้นไม้จะปรากฏขึ้นแก่สายตา  สองฟากฝั่งคือต้นยางนาขนาดใหญ่ที่วัดเส้นรอบวงโดยเฉลี่ย ๕ เมตร และสูงกว่า ๔๐ เมตร ยืนตระหง่านเรียงรายไปจนสุดสายตาตลอดแนวถนนเป็นจำนวนถึง ๘๘๖ ต้น ทำให้ยานยนต์หรือมนุษย์ที่สัญจรผ่านกลายเป็นสิ่งเล็ก ๆ กระจ้อยร่อยไปทันที  ภูมิทัศน์ที่งดงามสุดพิเศษนี้สร้างความประทับใจแก่ผู้สัญจรไปมาไม่รู้ลืม ข้อมูลจากหอจดหมายเหตุแห่งชาติ ร.ศ.๑๒๐ และ ร.ศ.๑๒๔ ระบุว่า กลุ่มต้นยางนานี้ปลูกเมื่อ พ.ศ.๒๔๔๕ ตามนโยบายของเจ้าพระยาสุรสีห์วิสิษฐ์ศักดิ์ (เชย กัลยาณมิตร) ข้าหลวงใหญ่มณฑลพายัพ โดยมีการกำหนดปลูกต้นยางนาในเขตเชียงใหม่และปลูกต้นขี้เหล็กในเขตลำพูน และมีการกำหนดกฎระเบียบในการดูแลรักษาอย่างเคร่งครัด เช่น ถ้าต้นยางนาปลูกตรงกับหน้าบ้านใด ก็ให้เจ้าของบ้านผู้นั้นเอาใจใส่ทำรั้วล้อมรอบ และให้หมั่นรดน้ำพรวนดิน ใส่ปุ๋ย สำหรับต้นยางนาที่ไม่ตรงกับหน้าบ้านผู้ใดให้บ้านที่อยู่ใกล้เคียงรับผิดชอบ โดยให้หัวหน้าหมู่บ้านนำลูกบ้านมาช่วยกันดูแลรักษา ด้วยเหตุนี้ต้นยางนาจึงเจริญเติบโตได้ดีและสวยงามมาจนกระทั่งถึงทุกวันนี้
        ปัจจุบัน  ถนนสายนี้ได้รับการประกาศเป็นพื้นที่คุ้มครองสิ่งแวดล้อมเนื่องจากมีคุณค่าและความสำคัญทางประวัติศาสตร์มายาวนานกว่า ๑๐๐ ปี

"
เชียงใหม่,2. ยางนาร่มมงคล,200 ปี,6 เมตร,30 เมตร,"18.786917, 98.986528","           ต้นยางสูงตระหง่านงาม  ลำต้นสีน้ำตาลสูงตรง และปลายเป็นพุ่มครึ้มเขียว  โดดเด่นเป็นสง่าอยู่เคียงข้างหอมณฑปเสาอินทขีล (เสาหลักเมือง) ภายในวัดเจดีย์หลวงวรวิหาร จังหวัดเชียงใหม่  ดุจเป็นร่มมงคลให้เสาเป็นหมุดหมายสำคัญบ่งบอกถึงสถานที่ศักดิ์สิทธิ์อันเป็นที่เคารพสักการะของชาวเมืองเชียงใหม่
          จากประวัติของวัดสันนิษฐานว่า ต้นยางนี้ปลูกเมื่อ พ.ศ.๒๓๓๙ ในสมัยพระเจ้ากาวิละ องค์ที่ ๑ ช่วงที่ย้ายเมืองจากเวียงป่าซาง (ลำพูน) มาตั้ง ณ เมืองเชียงใหม่เป็นการถาวร  
          ปัจจุบันด้วยความสูงใหญ่และอายุที่ยืนยาวของต้นยางกว่า ๒๐๐ ปี ประชาชนจึงให้ความนับถือและนิยมนำไม้มาค้ำตามความเชื่อที่ว่า ไม้ใหญ่มักจะมีเทพเทวาสถิต หากผู้ใดได้นำไม้มาค้ำต้นไม้ไว้ เสมือนกับช่วยประคองดวงชะตาให้เจริญและมั่นคง
"
ลพบุรี,3.พญายางนา,350 ปี,20 เมตร,90 เมตร,"14.747085, 100.598697","       ริมฝั่งแม่น้ำลพบุรี ในบริเวณวัดยาง ณ รังสี  ตำบลตะลุง อำเภอเมืองลพบุรี ผู้คนจะตื่นตาตื่นใจกับต้นยางยักษ์ขนาดใหญ่ สูงตระหง่าน  วัดขนาดเส้นรอบวงได้ ๒๐ เมตร หรือประมาณ ๑๓ คนโอบ และสูงถึง ๙๐ เมตร  มีอายุกว่า ๓๕๐ ปี  จึงได้สมญาว่า พญายางนา  
      ไม่มีหลักฐานว่าใครเป็นคนปลูก  แต่จากประวัติความเป็นมาของวัด วัดยาง ณ รังสี มีชื่อเดิมว่าวัดพญายาง   สันนิษฐานว่าตั้งตามต้นไม้ยักษ์ต้นนี้  เดิมวัดนี้เป็นวัดโบราณอยู่กลางป่าตั้งแต่สมัยละโว้ เพราะมีประติมากรรมหินทรายประดิษฐานอยู่ภายในอุโบสถของวัด ต่อมาในสมัยกรุงศรีอยุธยาได้มีการบูรณะปฏิสังขรณ์ขึ้นใหม่และเปลี่ยนชื่อใหม่ถึง ๒ ครั้ง  เป็นวัดยางศรีสุธรรมาราม และเป็น วัดยาง ณ รังสี   ในทุกวันนี้ 
      ปัจจุบันต้นพญายาง เป็นต้นไม้ที่ใหญ่ที่สุดของจังหวัดลพบุรี  ยังยืนต้นอยู่ท่ามกลางดงต้นยางริมฝั่งแม่น้ำลพบุรีอย่างสง่างาม
"
นครนายก,4. ยางนารางวัล,400 ปี,8 เมตร ,30 เมตร,"14.137709, 101.286086","       ณ วัดโพธิ์ปากพลี  อำเภอปากพลี จังหวัดนครนายก เพียงก้าวผ่านประตูวัดเข้ามา ดั่งก้าวเข้าไปสู่ดินแดนแห่งความเขียวชอุ่มร่มรื่น เพราะมีต้นยางนาสูงใหญ่ยืนเรียงรายต้อนรับและโอบล้อมเสมือนเป็นอ้อมกอดของธรรมชาติ หนึ่งในจำนวนนั้นเป็นต้นยางนาโดดเด่น  สูงตระหง่าน มีอายุกว่า ๔๐๐ ปี  วัดขนาดเส้นรอบวงได้ ๘ เมตร และมีความสูงถึง ๓๐ เมตร กอปรด้วยรูปทรงพุ่มที่สวยงาม สมบูรณ์ แข็งแรง  ในปีพ.ศ. ๒๕๕๓  ได้รับรางวัลชนะเลิศการประกวดต้นไม้ที่มีความโตและสมบูรณ์ที่สุดในท้องที่จังหวัดนครนายก
      จากประวัติของวัดสันนิษฐานว่า ต้นยางนี้มีมาในสมัยพระบาทสมเด็จพระนั่งเกล้าเจ้าอยู่หัว (รัชกาลที่ ๓)  ก่อนที่จะมีการสร้างวัดโพธิ์ปากพลีเสียอีก
ปัจจุบันอยู่ภายใต้การดูแลและอนุรักษ์ของวัดและชุมชน  
"
ขอนแก่น,5. ยางนาปู่ตา,300 ปี,7.30 เมตร,30 เมตร,"16.131860, 102.623963","           เลียบไปตามริมฝั่งแม่น้ำชี  ณ วัดป่าเกษมคงคาราม จังหวัดขอนแก่น  มีต้นยางนาใหญ่สมบูรณ์ สูงใหญ่  วัดเส้นรอบวงได้ ๗.๓๐ เมตร ความสูง ๓๐ เมตร อายุประมาณ ๓๐๐ ปี ยืนตระหง่านท่ามกลางป่าเขียวขจีที่ล้อมรอบ  โคนต้นพันไว้ด้วยผ้าหลากสี สะท้อนความเชื่อและความผูกพันของชุมชนกับป่าไม้ได้เป็นอย่างดี
          ยางนาต้นนี้ขึ้นอยู่ในบริเวณที่ชาวบ้านเชื่อว่าเดิมเป็นพื้นที่ของป่าดอนปู่ตา ซึ่งเป็นพื้นที่ศักดิ์สิทธิ์และเป็นที่ประทับของผีปู่ตาหรือผีอารักษ์ของหมู่บ้าน จึงห้ามตัดต้นไม้และมีการประกอบพิธีกรรมตามความเชื่อ เช่น พิธีเลี้ยงผีปู่ตา ซึ่งเป็นกุศโลบายในการป่าไม้ให้คงอยู่อย่างยั่งยืน เกิดความสมดุลของทรัพยากรทางธรรมชาติ  และเกิดความสุขสงบเย็นในชุมชน  
ต้นยางปู่ตาต้นนี้จึงได้รับการดูแลรักษา ให้ยืนยงมาจนปัจจุบัน  
"
นครสวรรค์,6.มะขามไทยทรงดำ,ไม่ระบุ,8 - 9 เมตร,30 - 40 เมตร,"15.735226, 99.876878","        มะขามต้นสูงใหญ่งามสง่า ใบละเอียดอ่อนเขียวขจี  ณ บ้านหนองหูช้าง จังหวัดนครสวรรค์ ลำต้นมีเส้นรอบวง ๘ - ๙ เมตร สูง ๓๐ - ๔๐ เมตร เป็นต้นไม้แห่งศรัทธาของชาวชุมชนไทยทรงดำ เพราะอยู่เคียงคู่พวกเขามายาวนาน
       ชุมชนเล่าว่า ในอดีตชาวบ้านไทยทรงดำจากจังหวัดเพชรบุรีได้อพยพมาตั้งถิ่นฐานอยู่ที่บ้านหนองหูช้าง จังหวัดนครสวรรค์ และพบว่าต้นมะขามคู่หนึ่งยืนต้นอยู่ขึ้นบริเวณใกล้ๆกัน ชาวบ้านจึงเรียกว่า “เจ้าพ่อขามคู่” และพร้อมใจกันตั้งศาลบูชาไว้ใต้ต้นมะขามเพื่อเป็นที่ยึดเหนี่ยวจิตใจและประกอบพิธีกรรมร่วมกันในหมู่บ้าน  ภายหลังต้นมะขามคู่ตายไปต้นหนึ่งจึงเหลือเพียงต้นเดียว ปัจจุบัน  ในทุกๆปี  ชาวบ้านไทยทรงดำก็ยังจัดพิธีเลี้ยงศาลในช่วงหลังเทศกาลสงกรานต์  แม้จะเหลือเพียงต้นเดียวก็ตาม 
"
เพชรบูรณ์,7. มะขามโพรง,400 ปี,8 เมตร ,20 เมตร,"16.940149, 101.215863","            ภายในวัดศิลามงคล ริมแม่น้ำพุง ตำบลหินฮาว อำเภอหล่มเก่า จังหวัดเพชรบูรณ์ ปรากฏต้นมะขามขนาดใหญ่ถึง ๖ คนโอบ คาดว่าอายุกว่า ๔๐๐ ปี เส้นรอบวงกว่า ๘ เมตร สูงประมาณ ๒๐ เมตร แผ่กิ่งก้านเป็นพุ่มรัศมีประมาณ ๑๕-๒๐ เมตร  สวยงามแปลกตาด้วยมีลำต้นเป็นโพรงขนาดใหญ่คล้ายปากถ้ำ  เป็นเอกลักษณ์เฉพาะสร้างความประทับใจแก่ผู้มาเยือน
 ชุมชน เล่าว่า มะขามต้นนี้น่าจะมีมาก่อนการสร้างวัด แต่เดิมลำต้นไม่ได้กลวงขนาดนี้ เป็นเพียง             ซอกหลืบ ต่อมามีงูขนาดใหญ่ ๒ ตัวเลื้อยเข้าไปอาศัยอยู่ ชาวบ้านเกรงจะเป็นอันตรายแก่พระสงฆ์จึงจุดไฟเผาจนเป็นโพรงกลวงดังที่เห็น แต่ต้นไม่ตาย และคนสามารถเข้าไปยืนอยู่ในโพรงได้ถึง ๕ คน
           ปัจจุบัน  มะขามโพรงจึงเป็นจุดหนึ่งที่นักท่องเที่ยวนิยมมาแวะชมเมื่อมาเยือนวัดแห่งนี้
"
สุพรรณบุรี,8. มะขามคู่บุญขุนแผน,"1,000 ปี",10 เมตร,15 เมตร,"14.487522, 100.117172","       ต้นมะขามยักษ์ วัดแค จังหวัดสุพรรณบุรี ขนาด  ๗ คนโอบ เส้นรอบวง ๑๐ เมตร สูง ๑๕ เมตรเชื่อกันว่ามีอายุกว่า ๑๐๐ปี แผ่กิ่งก้านสาขาร่มรื่นงดงาม  เรียกกันว่า ต้นมะขามคู่บุญขุนแผน
      จากประวัติความเป็นมาของวัด เชื่อว่า ชื่อวัดแค และต้นมะขามต้นนี้น่าจะเป็นข้อมูลที่ปรากฏอยู่ในวรรณคดีเรื่อง “ขุนช้าง ขุนแผน” ตอนที่ขุนแผนมาบวชและร่ำเรียนวิชาคาถาอาคมจากอาจารย์คง ที่วัดแค และได้เรียนวิชาเสกใบมะขามให้เป็นตัวต่อตัวแตนไว้โจมตีข้าศึก ทางวัดจึงได้สร้าง “คุ้มขุนแผน” ซึ่งเป็นเรือนไทยโบราณ และตัวต่อยักษ์ไว้ใกล้กับต้นมะขาม เพื่อให้เข้าชุดกันด้วยตามจินตนาการของผู้เขียน
      ปัจจุบัน  มะขามต้นนี้ถือเป็นจุดสำคัญของวัดที่ดึงดูดนักท่องเที่ยวให้มาเยือน
"
สุรินทร์,9. มะขามลายศิลป์,300 ปี,8 เมตร ,50 เมตร,"14.888284, 103.651360","       มะขามต้นนี้ ยืนตระหง่านอยู่หน้าโบสถ์วัดจอมสุทธาวาส อำเภอเมือง จังหวัดสุรินทร์ มีขนาดเส้นรอบวงกว่า ๘ เมตร สูงกว่า ๕๐ เมตร และมีอายุราว ๓๐๐ ปีขึ้นไป ลำต้นมีขนาดใหญ่ และมีผิวลำต้นเป็นริ้วรอย ร่องลึก ลวดลาย สวยงามแปลกตา ให้ความรู้สึกเข้มขลังอลังการ จึงได้รับความสนใจจากผู้มาเยือนเสมอ
      จากประวัติวัดและคนในชุมชน เชื่อกันว่ามีการปลูกต้นมะขามต้นนี้ขึ้นพร้อมๆกับการสร้างปราสาทเมืองที โบราณสถานศิลปะลาวซึ่งอยู่บริเวณใกล้กันภายในบริเวณวัด โดยปราสาทเมืองทีก่อสร้างขึ้นเมื่อราวพุทธศตวรรษที่ ๒๓ หรือประมาณ พ.ศ. ๒๒๐๐ ประกอบด้วยปรางค์ ๕ องค์ ก่อสร้างด้วยอิฐฉาบปูน ตั้งอยู่บนฐานเดียวกัน ปัจจุบันหักพังเหลือเพียง ๓ องค์ คือ องค์กลาง องค์มุมด้านตะวันออกเฉียงเหนือ และองค์ด้านตะวันตกเฉียงใต้
     ปัจจุบัน  ต้นมะขามลายศิลป์ นับเป็นจุดหนึ่งในการเยี่ยมชมวัดจอมสุทธาวาส จังหวัดสุรินทร์ 
"
กรุงเทพมหานคร,10. มะขามคู่ยักษ์วัดแจ้ง,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,"13.743675, 100.488895","     หน้าประตูซุ้มมงกุฏ  อันเป็นทางเข้าพระอุโบสถวัดอรุณราชวราราม(วัดแจ้ง)  กรุงเทพมหานคร มียักษ์คู่หนึ่งเป็นทวารบาล เป็นที่รู้จักกันดีในชื่อว่ายักษ์วัดแจ้ง ฝั่งซ้ายชื่อทศกัณฐ์ และฝั่งขวาชื่อ สหัสเดชะ ทั้งสองมีท่าทางยิ่งใหญ่งามสง่า  ถัดจากยักษ์ทั้งสองมีต้นมะขามขนาดสูงใหญ่ ตัดแต่งทรงสวยงาม มาประดับเคียงข้างในตำแหน่งที่พอเหมาะพอดี  ทำให้ดูงดงามอลังการยิ่งขึ้นไปอีก
     จากภาพวาดในหนังสือ “การเดินทางในไทยกัมพูชาและลาว ๑๘๕๘ – ๑๘๖๐” (พ.ศ. ๒๔๐๑ - ๒๔๐๓)โดยอ็องรีมูโอ (Travelsin Siam, Cambodia, and Laos, ๑๘๕๘ – ๑๘๖๐ / by HenriMouhot) ประกอบกับภาพถ่ายเก่าบริเวณเดียวกันที่ระบุว่าถ่ายเมื่อ พ.ศ. ๒๔๑๐ แสดงให้เห็นว่าต้นมะขามฝั่งยักษ์ทศกัณฐ์(กายสีเขียว ฝั่งซ้ายมือในภาพ) มีมาก่อน พ.ศ.๒๔๐๑ แล้ว สำหรับต้นมะขามฝั่งยักษ์สหัสเดชะ (กายสีขาว ฝั่งขวามือในภาพ) สันนิษฐานว่าอาจจะถูกปลูกขึ้นในภายหลัง ดังปรากฏในภาพโปสการ์ดสมัยรัชกาลที่ ๗ (พ.ศ.๒๔๖๘ – ๒๔๗๗)
     ปัจจุบัน ต้นมะขามคู่นี้ก็ยังยืนหยัดเคียงคู่ยักษ์วัดแจ้งทั้งสอง  และเป็นทิวทัศน์ที่ชื่นตาสำหรับนักท่องเที่ยว
"
